(0, 5]       0.041740
(5, 10]      0.041210
(10, 15]     0.072755
(15, 20]     0.093402
(20, 25]     0.101967
(25, 30]     0.095188
(30, 35]     0.089283
(35, 40]     0.090136
(40, 45]     0.085044
(45, 50]     0.079326
(50, 55]     0.082798
(55, 60]     0.083377
(60, 65]     0.082466
(65, 70]     0.087170
(70, 75]     0.090186
(75, 80]     0.099243
(80, 85]     0.099844
(85, 90]     0.085577
(90, 95]     0.057910
(95, 100]    0.043963
